year,value,Division,NPC
2017,50.0,Clementi Police Division,Clementi NPC
2017,64.0,Clementi Police Division,Jurong East NPC
2017,66.0,Clementi Police Division,Queenstown NPC
2017,29.0,Tanglin Police Division,Bishan NPC
2017,25.0,Tanglin Police Division,Bukit Timah NPC
2017,38.0,Tanglin Police Division,Kampong Java NPC
2017,158.0,Tanglin Police Division,Orchard NPC
2017,51.0,Tanglin Police Division,Toa Payoh NPC
2017,34.0,Ang Mo Kio Police Division,Ang Mo Kio North NPC
2017,35.0,Ang Mo Kio Police Division,Ang Mo Kio South NPC
2017,55.0,Ang Mo Kio Police Division,Hougang NPC
2017,30.0,Ang Mo Kio Police Division,Punggol NPC
2017,36.0,Ang Mo Kio Police Division,Sembawang NPC
2017,72.0,Ang Mo Kio Police Division,Sengkang NPC
2017,29.0,Ang Mo Kio Police Division,Serangoon NPC
2017,61.0,Ang Mo Kio Police Division,Yishun North NPC
2017,32.0,Ang Mo Kio Police Division,Yishun South NPC
2017,86.0,Bedok Police Division,Bedok NPC
2017,31.0,Bedok Police Division,Changi NPC
2017,104.0,Bedok Police Division,Geylang NPC
2017,35.0,Bedok Police Division,Marine Parade NPC
2017,23.0,Bedok Police Division,Pasir Ris NPC
2017,58.0,Bedok Police Division,Tampines NPC
2017,50.0,Jurong Police Division,Bukit Batok NPC
2017,30.0,Jurong Police Division,Bukit Panjang NPC
2017,47.0,Jurong Police Division,Choa Chu Kang NPC
2017,59.0,Jurong Police Division,Jurong West NPC
2017,64.0,Jurong Police Division,Nanyang NPC
2017,,Jurong Police Division,Woodlands NPC
2017,60.0,Jurong Police Division,Woodlands East NPC
2017,70.0,Jurong Police Division,Woodlands West NPC
2017,,Woodlands Police Division,Woodlands East NPC
2017,,Woodlands Police Division,Woodlands West NPC
2017,,Woodlands Police Division,Yishun North NPC
2017,,Woodlands Police Division,Yishun South NPC
2017,,Woodlands Police Division,Sembawang NPC
2017,,Woodlands Police Division,Checkpoint
2018,97.0,Central Police Division,Bukit Merah East NPC
2018,156.0,Central Police Division,Marina Bay NPC
2018,94.0,Central Police Division,Rochor NPC
2018,52.0,Clementi Police Division,Bukit Merah West NPC
2018,40.0,Clementi Police Division,Clementi NPC
2018,56.0,Clementi Police Division,Jurong East NPC
2018,65.0,Clementi Police Division,Queenstown NPC
2018,44.0,Tanglin Police Division,Bishan NPC
2018,41.0,Tanglin Police Division,Bukit Timah NPC
2018,33.0,Tanglin Police Division,Kampong Java NPC
2018,185.0,Tanglin Police Division,Orchard NPC
2018,50.0,Tanglin Police Division,Toa Payoh NPC
2018,34.0,Ang Mo Kio Police Division,Ang Mo Kio North NPC
2018,44.0,Ang Mo Kio Police Division,Ang Mo Kio South NPC
2018,67.0,Ang Mo Kio Police Division,Hougang NPC
2018,33.0,Ang Mo Kio Police Division,Punggol NPC
2018,32.0,Ang Mo Kio Police Division,Sembawang NPC
2018,61.0,Ang Mo Kio Police Division,Sengkang NPC
2018,49.0,Ang Mo Kio Police Division,Serangoon NPC
2018,64.0,Ang Mo Kio Police Division,Yishun North NPC
2018,38.0,Ang Mo Kio Police Division,Yishun South NPC
2018,88.0,Bedok Police Division,Bedok NPC
2018,52.0,Bedok Police Division,Changi NPC
2018,106.0,Bedok Police Division,Geylang NPC
2018,39.0,Bedok Police Division,Marine Parade NPC
2018,36.0,Bedok Police Division,Pasir Ris NPC
2018,55.0,Bedok Police Division,Tampines NPC
2018,62.0,Jurong Police Division,Bukit Batok NPC
2018,46.0,Jurong Police Division,Bukit Panjang NPC
2018,56.0,Jurong Police Division,Choa Chu Kang NPC
2018,62.0,Jurong Police Division,Jurong West NPC
2018,79.0,Jurong Police Division,Nanyang NPC
2018,,Jurong Police Division,Woodlands NPC
2018,51.0,Jurong Police Division,Woodlands East NPC
2018,59.0,Jurong Police Division,Woodlands West NPC
2018,2.0,Woodlands Police Division,Woodlands East NPC
2018,7.0,Woodlands Police Division,Woodlands West NPC
2018,6.0,Woodlands Police Division,Yishun North NPC
2018,1.0,Woodlands Police Division,Yishun South NPC
2018,2.0,Woodlands Police Division,Sembawang NPC
2018,0.0,Woodlands Police Division,Checkpoint
2019,73.0,Central Police Division,Bukit Merah East NPC
2019,147.0,Central Police Division,Marina Bay NPC
2019,84.0,Central Police Division,Rochor NPC
2019,52.0,Clementi Police Division,Bukit Merah West NPC
2019,48.0,Clementi Police Division,Clementi NPC
2019,62.0,Clementi Police Division,Jurong East NPC
2019,69.0,Clementi Police Division,Queenstown NPC
2019,22.0,Tanglin Police Division,Bishan NPC
2019,39.0,Tanglin Police Division,Bukit Timah NPC
2019,35.0,Tanglin Police Division,Kampong Java NPC
2019,156.0,Tanglin Police Division,Orchard NPC
2019,69.0,Tanglin Police Division,Toa Payoh NPC
2019,26.0,Ang Mo Kio Police Division,Ang Mo Kio North NPC
2019,40.0,Ang Mo Kio Police Division,Ang Mo Kio South NPC
2019,71.0,Ang Mo Kio Police Division,Hougang NPC
2019,53.0,Ang Mo Kio Police Division,Punggol NPC
2019,,Ang Mo Kio Police Division,Sembawang NPC
2019,67.0,Ang Mo Kio Police Division,Sengkang NPC
2019,27.0,Ang Mo Kio Police Division,Serangoon NPC
2019,,Ang Mo Kio Police Division,Yishun North NPC
2019,,Ang Mo Kio Police Division,Yishun South NPC
2019,86.0,Bedok Police Division,Bedok NPC
2019,22.0,Bedok Police Division,Changi NPC
2019,89.0,Bedok Police Division,Geylang NPC
2019,36.0,Bedok Police Division,Marine Parade NPC
2019,32.0,Bedok Police Division,Pasir Ris NPC
2019,56.0,Bedok Police Division,Tampines NPC
2019,52.0,Jurong Police Division,Bukit Batok NPC
2019,30.0,Jurong Police Division,Bukit Panjang NPC
2019,71.0,Jurong Police Division,Choa Chu Kang NPC
2019,51.0,Jurong Police Division,Jurong West NPC
2019,59.0,Jurong Police Division,Nanyang NPC
2019,,Jurong Police Division,Woodlands NPC
2019,,Jurong Police Division,Woodlands East NPC
2019,,Jurong Police Division,Woodlands West NPC
2019,56.0,Woodlands Police Division,Woodlands East NPC
2019,53.0,Woodlands Police Division,Woodlands West NPC
2019,64.0,Woodlands Police Division,Yishun North NPC
2019,18.0,Woodlands Police Division,Yishun South NPC
2019,27.0,Woodlands Police Division,Sembawang NPC
2019,0.0,Woodlands Police Division,Checkpoint
2020,60.0,Central Police Division,Bukit Merah East NPC
2020,77.0,Central Police Division,Marina Bay NPC
2020,76.0,Central Police Division,Rochor NPC
2020,54.0,Clementi Police Division,Bukit Merah West NPC
2020,43.0,Clementi Police Division,Clementi NPC
2020,46.0,Clementi Police Division,Jurong East NPC
2020,60.0,Clementi Police Division,Queenstown NPC
2020,19.0,Tanglin Police Division,Bishan NPC
2020,29.0,Tanglin Police Division,Bukit Timah NPC
2020,39.0,Tanglin Police Division,Kampong Java NPC
2020,62.0,Tanglin Police Division,Orchard NPC
2020,53.0,Tanglin Police Division,Toa Payoh NPC
2020,35.0,Ang Mo Kio Police Division,Ang Mo Kio North NPC
2020,13.0,Ang Mo Kio Police Division,Ang Mo Kio South NPC
2020,51.0,Ang Mo Kio Police Division,Hougang NPC
2020,43.0,Ang Mo Kio Police Division,Punggol NPC
2020,,Ang Mo Kio Police Division,Sembawang NPC
2020,56.0,Ang Mo Kio Police Division,Sengkang NPC
2020,25.0,Ang Mo Kio Police Division,Serangoon NPC
