year,level_1,value
2019,Ang Mo Kio Police Division - Total,285
2019,Ang Mo Kio Police Division - Ang Mo Kio North NPC,26
2019,Ang Mo Kio Police Division - Ang Mo Kio South NPC,40
2019,Ang Mo Kio Police Division - Hougang NPC,71
2019,Ang Mo Kio Police Division - Punggol NPC,53
2019,Ang Mo Kio Police Division - Sembawang NPC,na
2019,Ang Mo Kio Police Division - Sengkang NPC,67
2019,Ang Mo Kio Police Division - Serangoon NPC,27
2019,Ang Mo Kio Police Division - Yishun North NPC,na
2019,Ang Mo Kio Police Division - Yishun South NPC,na
2019,Ang Mo Kio Police Division - Unknown NPC,0
2019,Bedok Police Division - Total,322
2019,Bedok Police Division - Bedok NPC,86
2019,Bedok Police Division - Changi NPC,22
2019,Bedok Police Division - Geylang NPC,89
2019,Bedok Police Division - Marine Parade NPC,36
2019,Bedok Police Division - Pasir Ris NPC,32
2019,Bedok Police Division - Tampines NPC,56
2019,Bedok Police Division - Unknown NPC,0
2019,Jurong Police Division - Total,263
2019,Jurong Police Division - Bukit Batok NPC,52
2019,Jurong Police Division - Bukit Panjang NPC,30
2019,Jurong Police Division - Choa Chu Kang NPC,71
2019,Jurong Police Division - Jurong West NPC,51
2019,Jurong Police Division - Nanyang NPC,59
2019,Jurong Police Division - Woodlands NPC,na
2019,Jurong Police Division - Woodlands East NPC,na
2019,Jurong Police Division - Woodlands West NPC,na
2019,Jurong Police Division - Unknown NPC,0
2019,Woodlands Police Division - Total,224
2019,Woodlands Police Division - Woodlands East NPC,56
2019,Woodlands Police Division - Woodlands West NPC,53
2019,Woodlands Police Division - Yishun North NPC,64
2019,Woodlands Police Division - Yishun South NPC,18
2019,Woodlands Police Division - Sembawang NPC,27
2019,Woodlands Police Division - Checkpoint,0
2019,Woodlands Police Division - Unknown NPC,0
2020,Central Police Division - Total,216
2020,Central Police Division - Bukit Merah East NPC,60
2020,Central Police Division - Marina Bay NPC,77
2020,Central Police Division - Rochor NPC,76
2020,Central Police Division - Unknown NPC,3
2020,Clementi Police Division - Total,203
2020,Clementi Police Division - Bukit Merah West NPC,54
2020,Clementi Police Division - Clementi NPC,43
2020,Clementi Police Division - Jurong East NPC,46
2020,Clementi Police Division - Queenstown NPC,60
2020,Clementi Police Division - Unknown NPC,0
2020,Tanglin Police Division - Total,202
2020,Tanglin Police Division - Bishan NPC,19
2020,Tanglin Police Division - Bukit Timah NPC,29
2020,Tanglin Police Division - Kampong Java NPC,39
2020,Tanglin Police Division - Orchard NPC,62
2020,Tanglin Police Division - Toa Payoh NPC,53
2020,Tanglin Police Division - Unknown NPC,0
2020,Ang Mo Kio Police Division - Total,225
2020,Ang Mo Kio Police Division - Ang Mo Kio North NPC,35
2020,Ang Mo Kio Police Division - Ang Mo Kio South NPC,13
2020,Ang Mo Kio Police Division - Hougang NPC,51
2020,Ang Mo Kio Police Division - Punggol NPC,43
2020,Ang Mo Kio Police Division - Sembawang NPC,na
2020,Ang Mo Kio Police Division - Sengkang NPC,56
2020,Ang Mo Kio Police Division - Serangoon NPC,25
2020,Ang Mo Kio Police Division - Yishun North NPC,na
2020,Ang Mo Kio Police Division - Yishun South NPC,na
2020,Ang Mo Kio Police Division - Unknown NPC,2
2020,Bedok Police Division - Total,260
2020,Bedok Police Division - Bedok NPC,64
2020,Bedok Police Division - Changi NPC,14
2020,Bedok Police Division - Geylang NPC,76
2020,Bedok Police Division - Marine Parade NPC,36
2020,Bedok Police Division - Pasir Ris NPC,27
2020,Bedok Police Division - Tampines NPC,42
2020,Bedok Police Division - Unknown NPC,1
2020,Jurong Police Division - Total,250
2020,Jurong Police Division - Bukit Batok NPC,46
2020,Jurong Police Division - Bukit Panjang NPC,36
2020,Jurong Police Division - Choa Chu Kang NPC,63
2020,Jurong Police Division - Jurong West NPC,46
2020,Jurong Police Division - Nanyang NPC,57
2020,Jurong Police Division - Woodlands NPC,na
2020,Jurong Police Division - Woodlands East NPC,na
2020,Jurong Police Division - Woodlands West NPC,na
2020,Jurong Police Division - Unknown NPC,2
2020,Woodlands Police Division - Total,228
2020,Woodlands Police Division - Woodlands East NPC,47
2020,Woodlands Police Division - Woodlands West NPC,43
2020,Woodlands Police Division - Yishun North NPC,59
2020,Woodlands Police Division - Yishun South NPC,26
2020,Woodlands Police Division - Sembawang NPC,46
2020,Woodlands Police Division - Checkpoint,6
2020,Woodlands Police Division - Unknown NPC,1
2021,Central Police Division - Total,231
2021,Central Police Division - Bukit Merah East NPC,65
2021,Central Police Division - Marina Bay NPC,91
2021,Central Police Division - Rochor NPC,73
2021,Central Police Division - Unknown NPC,2
2021,Clementi Police Division - Total,190
2021,Clementi Police Division - Bukit Merah West NPC,41
2021,Clementi Police Division - Clementi NPC,32
2021,Clementi Police Division - Jurong East NPC,45
2021,Clementi Police Division - Queenstown NPC,71
2021,Clementi Police Division - Unknown NPC,1
2021,Tanglin Police Division - Total,231
2021,Tanglin Police Division - Bishan NPC,37
2021,Tanglin Police Division - Bukit Timah NPC,33
2021,Tanglin Police Division - Kampong Java NPC,45
2021,Tanglin Police Division - Orchard NPC,66
2021,Tanglin Police Division - Toa Payoh NPC,49
2021,Tanglin Police Division - Unknown NPC,1
2021,Ang Mo Kio Police Division - Total,287
2021,Ang Mo Kio Police Division - Ang Mo Kio North NPC,35
2021,Ang Mo Kio Police Division - Ang Mo Kio South NPC,30
2021,Ang Mo Kio Police Division - Hougang NPC,56
2021,Ang Mo Kio Police Division - Punggol NPC,43
2021,Ang Mo Kio Police Division - Sembawang NPC,na
2021,Ang Mo Kio Police Division - Sengkang NPC,83
2021,Ang Mo Kio Police Division - Serangoon NPC,39
2021,Ang Mo Kio Police Division - Yishun North NPC,na
2021,Ang Mo Kio Police Division - Yishun South NPC,na
2021,Ang Mo Kio Police Division - Unknown NPC,1
2021,Bedok Police Division - Total,307
2021,Bedok Police Division - Bedok NPC,80
2021,Bedok Police Division - Changi NPC,31
2021,Bedok Police Division - Geylang NPC,73
2021,Bedok Police Division - Marine Parade NPC,33
2021,Bedok Police Division - Pasir Ris NPC,33
2021,Bedok Police Division - Tampines NPC,57
2021,Bedok Police Division - Unknown NPC,0
2021,Jurong Police Division - Total,263
2021,Jurong Police Division - Bukit Batok NPC,52
2021,Jurong Police Division - Bukit Panjang NPC,32
